aircraft_id,model,manufacturer,total_capacity,economy_seats,business_seats,first_class_seats,manufacture_year,fuel_efficiency,maintenance_status,created_at,updated_at
AC0001,A350,Airbus,488,390,73,25,2016,2.62,Excellent,2020-11-24,2022-04-09
AC0002,B787,Boeing,344,275,51,18,2012,4.25,Good,2021-04-27,2020-10-12
AC0003,B787,Boeing,171,136,25,10,1996,4.36,Maintenance Required,2021-12-11,2020-10-27
AC0004,B787,Boeing,150,120,22,8,1994,5.2,Excellent,2017-05-28,2022-08-24
AC0005,B777,Boeing,151,120,22,9,2012,3.8,Excellent,2014-08-03,2022-09-03
AC0006,A350,Airbus,366,292,54,20,2006,2.69,Excellent,2010-04-26,2020-07-10
AC0007,A380,Airbus,304,243,45,16,1990,4.34,Maintenance Required,2015-06-22,2021-10-28
AC0008,A380,Airbus,132,105,19,8,2002,5.25,Good,2015-05-09,2020-10-18
AC0009,B777,Boeing,329,263,49,17,1995,2.74,Maintenance Required,2021-05-24,2022-09-29
AC0010,B737,Boeing,254,203,38,13,2008,4.62,Excellent,2017-06-18,2021-02-20
AC0011,B777,Boeing,380,304,57,19,2008,3.83,Excellent,2018-08-20,2021-10-11
AC0012,B777,Boeing,223,178,33,12,2008,3.05,Good,2010-09-28,2021-06-16
AC0013,A350,Airbus,135,108,20,7,1995,4.54,Good,2013-05-10,2020-03-20
AC0014,B737,Boeing,458,366,68,24,2015,5.01,Excellent,2016-03-07,2022-12-04
AC0015,A320,Airbus,210,168,31,11,2016,4.24,Maintenance Required,2021-01-18,2022-01-01
AC0016,B737,Boeing,266,212,39,15,1997,3.96,Excellent,2017-07-09,2021-01-24
AC0017,A320,Airbus,108,86,16,6,2007,2.85,Good,2018-05-06,2020-12-15
AC0018,B787,Boeing,318,254,47,17,1993,2.8,Good,2014-11-28,2020-04-02
AC0019,B777,Boeing,424,339,63,22,1994,2.58,Excellent,2014-03-25,2020-09-02
AC0020,A350,Airbus,146,116,21,9,2013,5.0,Good,2010-10-26,2020-02-14
AC0021,A320,Airbus,194,155,29,10,1997,3.94,Excellent,2011-05-16,2020-02-16
AC0022,B777,Boeing,317,253,47,17,1996,5.01,Good,2014-12-15,2020-05-27
AC0023,A380,Airbus,254,203,38,13,2012,3.81,Good,2021-04-18,2022-08-14
AC0024,B737,Boeing,405,324,60,21,1996,4.6,Maintenance Required,2014-06-22,2021-06-16
AC0025,B787,Boeing,474,379,71,24,2020,5.01,Excellent,2013-10-19,2021-02-20
AC0026,B737,Boeing,446,356,66,24,2000,5.04,Maintenance Required,2021-11-16,2021-05-28
AC0027,B737,Boeing,405,324,60,21,2018,4.5,Good,2020-07-30,2022-04-19
AC0028,B777,Boeing,360,288,54,18,2009,4.45,Maintenance Required,2015-08-18,2020-11-10
AC0029,B777,Boeing,453,362,67,24,1990,3.87,Good,2017-07-14,2020-04-03
AC0030,B777,Boeing,243,194,36,13,1998,3.22,Maintenance Required,2017-11-25,2021-08-12
AC0031,A380,Airbus,283,226,42,15,1998,4.65,Maintenance Required,2019-04-18,2020-06-14
AC0032,B737,Boeing,404,323,60,21,2002,4.6,Good,2015-05-16,2021-04-01
AC0033,A380,Airbus,329,263,49,17,2014,4.63,Excellent,2022-09-29,2022-04-28
AC0034,B737,Boeing,305,244,45,16,2016,4.82,Excellent,2011-01-19,2020-12-05
AC0035,A350,Airbus,132,105,19,8,2006,4.6,Maintenance Required,2021-10-31,2022-09-24
AC0036,B777,Boeing,409,327,61,21,1990,5.15,Maintenance Required,2017-04-24,2021-10-01
AC0037,A350,Airbus,125,100,18,7,2016,3.06,Excellent,2011-11-15,2020-09-24
AC0038,B737,Boeing,305,244,45,16,2016,3.45,Good,2010-04-28,2020-01-05
AC0039,A380,Airbus,370,296,55,19,1996,3.07,Excellent,2014-06-15,2021-09-11
AC0040,B787,Boeing,452,361,67,24,2001,2.8,Maintenance Required,2011-10-29,2020-02-14
AC0041,B787,Boeing,331,264,49,18,1997,5.08,Good,2021-09-06,2021-12-11
AC0042,B737,Boeing,179,143,26,10,2007,5.05,Good,2010-11-30,2021-02-25
AC0043,A380,Airbus,232,185,34,13,2010,5.34,Excellent,2010-12-11,2022-10-09
AC0044,A380,Airbus,429,343,64,22,2019,4.42,Maintenance Required,2022-01-24,2020-12-31
AC0045,A320,Airbus,292,233,43,16,2008,2.53,Good,2016-02-02,2021-11-13
AC0046,B787,Boeing,288,230,43,15,1995,3.51,Excellent,2010-10-20,2020-03-25
AC0047,B787,Boeing,183,146,27,10,1999,5.45,Maintenance Required,2018-02-04,2022-03-19
AC0048,B777,Boeing,166,132,24,10,2008,2.84,Excellent,2015-05-18,2020-04-08
AC0049,B787,Boeing,191,152,28,11,2023,4.69,Maintenance Required,2019-01-16,2021-11-03
AC0050,B787,Boeing,312,249,46,17,1996,2.8,Maintenance Required,2020-08-19,2021-11-21
